,Feature,Coefficients,Odds ratio
84,min_HR_00,0.13329929306039726,0.8752031106886491
30,en_lead_creation_date_in_advance_GT56,0.13348707986650368,0.8750387745223632
3,source_tagged_min_google,0.1428470373924277,0.866886659998473
85,min_HR_01,0.1500039337416326,0.8607045906289169
10,source_tagged_min_webinar - linkedin,0.151393020872343,0.8595098269662592
105,min_HR_21,0.15302413068138124,0.8581090148063311
61,min_DD_09,0.15993314186867888,0.8522007636121465
43,min_MM_03,0.16306399741251337,0.8495368185166225
81,min_DD_29,0.17237211006442296,0.8416659225296016
93,min_HR_09,0.1874853069754121,0.8290412992151057
23,company_given_max_Self_Employed,0.1897367820544989,0.8271768330775148
86,min_HR_02,0.19548663181321785,0.8224343379465404
95,min_HR_11,0.2330446591898573,0.7921181973774187
31,en_lead_creation_date_in_advance_LT38,0.24116623791985578,0.7857110005688217
51,min_MM_11,0.2434649371244025,0.7839069615826829
94,min_HR_10,0.24739972354251213,0.7808285156027481
7,source_tagged_min_others,0.25067302445152984,0.7782768074455098
72,min_DD_20,0.26850479837129887,0.7645217543418069
16,"designation_final_mid-senior manager (avp, vp, director, agm, dgm, gm)",0.28651901102178334,0.750872803536175
50,min_MM_10,0.2878113589155108,0.7499030414200536
33,day_of_week_monday,0.3036754056491709,0.7381004107948061
76,min_DD_24,0.3050827842286284,0.7370623547274425
78,min_DD_26,0.30851848741716187,0.7345343724302802
75,min_DD_23,0.3129722589497256,0.7312701984908448
83,min_DD_31,0.31945443396660034,0.726545307409493
13,designation_final_first_level_manager,0.3225795816369806,0.7242782902613734
68,min_DD_16,0.32856710956710317,0.7199546107622944
53,min_DD_01,0.34150692106505637,0.7106985488119447
79,min_DD_27,0.3548634218365299,0.7012692147297201
70,min_DD_18,0.3587795648486312,0.6985283145762557
22,company_given_max_No,0.387069883376564,0.6790436394061241
69,min_DD_17,0.39571925182727397,0.6731956678630234
60,min_DD_08,0.4671205041494846,0.6268045533116116
27,en_person_age_in_system_days_mean_fresh_lead,0.4719583313052725,0.62377950445398
17,designation_final_middle_manager,0.48258980674693963,0.6171829357336491
100,min_HR_16,0.49907029421658833,0.6070948169842879
77,min_DD_25,0.504922019295199,0.6035526390521672
98,min_HR_14,0.5088361856542016,0.6011948510140579
6,source_tagged_min_organic_aem,0.5520449864563893,0.5757711614035956
64,min_DD_12,0.5916384693612278,0.5534197801246487
21,email_type_max_public,0.595910317175658,0.5510606974550456
39,min_YYYY_2022,0.6138690821718656,0.5412526615999399
32,day_of_week_friday,0.6439081218113583,0.5252357225573872
11,source_tagged_min_webinar - organic_aem,0.7595647503424872,0.46787002296641655
48,min_MM_08,0.795395148540056,0.4514028285077345
25,en_days_to_program_start_mean_after_program_start,1.2264703673114266,0.29332608599705745
4,source_tagged_min_linkedin,1.3302689350948642,0.26440614364591203
2,source_tagged_min_facebook,1.9720701474023385,0.13916845858221852
